     'SIZES',     'NVARS',          52,    'NALPHA',           3,     'NMACH',           5,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
      'CASE',      'RAD?',     'TRIM?',      'MACH',        'RE',       'ALT',         'Q',      'BETA',       'PHI',      'SREF',       'XCG',      'XMRP',      'LREF',    'LATREF',     'ALPHA',        'CN',        'CM',        'CA',     'CA_0B',     'CA_FB',        'CY',       'CLN',       'CLL',        'CL',        'CD',     'CL/CD',    'X-C.P.',       'CNA',       'CMA',       'CYB',      'CLNB',      'CLLB',       'CNQ',       'CMQ',       'CAQ',      'CNAD',      'CMAD',       'CYQ',      'CLNQ',      'CLLQ',       'CYR',      'CLNR',      'CLLR',       'CYP',      'CLNP',      'CLLP',       'CNP',       'CMP',       'CAP',       'CNR',       'CMR',       'CAR',
           1,           0,           0,      0.6000,    0.14E+08,      0.0000,  25533.9434,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,      0.0000,      0.0000,      0.0000,      0.4010,      0.1200,      0.4273,      0.0000,      0.0000,      0.0000,      0.0000,      0.4010,      0.0000,     10.2893,      0.0707,      0.7277,     -0.0716,     -0.7360,      0.0000,     -1.1452,    -11.1703,      0.0000,      0.3102,      2.7213,      0.0000,      0.0000,      0.0000,     -1.1594,    -11.1703,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      0.6000,    0.14E+08,      0.0000,  25533.9434,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,      8.0000,      0.6220,      6.3531,      0.3921,      0.1111,      0.4182,      0.0000,      0.0000,      0.0000,      0.5614,      0.4749,      1.1822,     10.2139,      0.0848,      0.8605,     -0.0773,     -0.7896,      0.0000,     -1.1452,    -11.1703,      0.0000,      0.3102,      2.7213,      0.0000,      0.0000,      0.0000,     -1.1594,    -11.1703,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      0.6000,    0.14E+08,      0.0000,  25533.9434,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,     16.0000,      1.3564,     13.8061,      0.3599,      0.0846,      0.3852,      0.0000,      0.0000,      0.0000,      1.2047,      0.7199,      1.6734,     10.1781,      0.0988,      1.0027,     -0.0826,     -0.8407,      0.0000,     -1.1452,    -11.1703,      0.0000,      0.3102,      2.7213,      0.0000,      0.0000,      0.0000,     -1.1594,    -11.1703,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.0000,    0.23E+08,      0.0000,  70927.6172,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,      0.0000,      0.0000,      0.0000,      0.5352,      0.1559,      0.5707,      0.0000,      0.0000,      0.0000,      0.0000,      0.5352,      0.0000,     10.3888,      0.0678,      0.7042,     -0.0694,     -0.7192,      0.0000,     -1.0976,    -12.1773,      0.0000,      0.3108,      3.0674,      0.0000,      0.0000,      0.0000,     -1.1238,    -12.1773,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.0000,    0.23E+08,      0.0000,  70927.6172,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,      8.0000,      0.6460,      6.5916,      0.5308,      0.1529,      0.5659,      0.0000,      0.0000,      0.0000,      0.5659,      0.6155,      0.9194,     10.2033,      0.0937,      0.9437,     -0.0803,     -0.8196,      0.0000,     -1.0976,    -12.1773,      0.0000,      0.3108,      3.0674,      0.0000,      0.0000,      0.0000,     -1.1238,    -12.1773,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.0000,    0.23E+08,      0.0000,  70927.6172,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,     16.0000,      1.4998,     15.2294,      0.5131,      0.1440,      0.5472,      0.0000,      0.0000,      0.0000,      1.3003,      0.9066,      1.4342,     10.1541,      0.1197,      1.2157,     -0.0914,     -0.9276,      0.0000,     -1.0976,    -12.1773,      0.0000,      0.3108,      3.0674,      0.0000,      0.0000,      0.0000,     -1.1238,    -12.1773,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.5000,    0.35E+08,      0.0000, 159587.1250,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,      0.0000,      0.0000,      0.0000,      0.5152,      0.1663,      0.5479,      0.0000,      0.0000,      0.0000,      0.0000,      0.5152,      0.0000,     10.4417,      0.0698,      0.7293,     -0.0726,     -0.7540,      0.0000,     -1.1310,    -12.3082,      0.0000,      0.3277,      3.1535,      0.0000,      0.0000,      0.0000,     -1.1762,    -12.7145,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.5000,    0.35E+08,      0.0000, 159587.1250,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,      8.0000,      0.7374,      7.4153,      0.4810,      0.1355,      0.5133,      0.0000,      0.0000,      0.0000,      0.6633,      0.5789,      1.1457,     10.0555,      0.1145,      1.1245,     -0.0918,     -0.9225,      0.0000,     -1.1310,    -12.3082,      0.0000,      0.3277,      3.1535,      0.0000,      0.0000,      0.0000,     -1.1762,    -12.7145,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      1.5000,    0.35E+08,      0.0000, 159587.1250,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,     16.0000,      1.8331,     18.3780,      0.3808,      0.0454,      0.4122,      0.0000,      0.0000,      0.0000,      1.6571,      0.8713,      1.9018,     10.0257,      0.1594,      1.6162,     -0.1117,     -1.1196,      0.0000,     -1.1310,    -12.3082,      0.0000,      0.3277,      3.1535,      0.0000,      0.0000,      0.0000,     -1.1762,    -12.7145,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      2.3000,    0.53E+08,      0.0000, 375207.0625,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,      0.0000,      0.0000,      0.0000,      0.3890,      0.1475,      0.4116,      0.0000,      0.0000,      0.0000,      0.0000,      0.3890,      0.0000,     10.8111,      0.0640,      0.6916,     -0.0679,     -0.7245,      0.0000,     -1.0359,    -11.7279,      0.0000,      0.3474,      3.3432,      0.0000,      0.0000,      0.0000,     -1.0987,    -12.2644,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      2.3000,    0.53E+08,      0.0000, 375207.0625,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,      8.0000,      0.7599,      7.6360,      0.3860,      0.1469,      0.4084,      0.0000,      0.0000,      0.0000,      0.6988,      0.4880,      1.4318,     10.0486,      0.1260,      1.2174,     -0.0946,     -0.9505,      0.0000,     -1.0359,    -11.7279,      0.0000,      0.3474,      3.3432,      0.0000,      0.0000,      0.0000,     -1.0987,    -12.2644,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      2.3000,    0.53E+08,      0.0000, 375207.0625,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,     16.0000,      2.0179,     20.2086,      0.3773,      0.1451,      0.3990,      0.0000,      0.0000,      0.0000,      1.8358,      0.9189,      1.9979,     10.0144,      0.1885,      1.9258,     -0.1230,     -1.2314,      0.0000,     -1.0359,    -11.7279,      0.0000,      0.3474,      3.3432,      0.0000,      0.0000,      0.0000,     -1.0987,    -12.2644,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      4.6300,    0.11E+09,      0.0000,1520468.2500,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,      0.0000,      0.0000,      0.0000,      0.1959,      0.1062,      0.2043,      0.0000,      0.0000,      0.0000,      0.0000,      0.1959,      0.0000,     10.2841,      0.0807,      0.8300,     -0.0825,     -0.8465,      0.0000,     -1.3069,    -13.9778,      0.0000,      0.3532,      3.3991,      0.0000,      0.0000,      0.0000,     -1.3360,    -14.2511,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      4.6300,    0.11E+09,      0.0000,1520468.2500,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,      8.0000,      0.7607,      7.6971,      0.2146,      0.1258,      0.2229,      0.0000,      0.0000,      0.0000,      0.7234,      0.3184,      2.2721,     10.1184,      0.1095,      1.0942,     -0.0946,     -0.9570,      0.0000,     -1.3069,    -13.9778,      0.0000,      0.3532,      3.3991,      0.0000,      0.0000,      0.0000,     -1.3360,    -14.2511,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
           1,           0,           0,      4.6300,    0.11E+09,      0.0000,1520468.2500,      0.0000,      0.0000,      0.0013,      0.7287,     12.6296,      0.0572,      0.0572,     16.0000,      1.7518,     17.6679,      0.2693,      0.1831,      0.2774,      0.0000,      0.0000,      0.0000,      1.6097,      0.7417,      2.1702,     10.0856,      0.1383,      1.3985,     -0.1067,     -1.0761,      0.0000,     -1.3069,    -13.9778,      0.0000,      0.3532,      3.3991,      0.0000,      0.0000,      0.0000,     -1.3360,    -14.2511,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,
